Busnumber,県立体育館前,上熊本駅,県営団地バス停前,シャンテSOJO,崇城大学食堂前,崇城大学前駅,薬学部,芸術学部,硯川校舎,type
1,07:25,07:30,08:16,07:32,08:19,07:33,07:35,07:36,08:28,1
2,07:40,07:45,08:16,07:47,08:19,07:48,07:50,07:51,08:28,1
3,07:55,08:00,08:16,08:02,08:19,08:04,08:06,08:07,08:28,1
4,08:10,08:15,08:16,08:17,08:19,08:21,08:23,08:24,08:28,1
5,08:25,08:30,08:31,08:32,08:34,08:36,08:38,08:39,08:43,1
6,09:25,09:30,09:31,09:32,09:34,09:36,09:38,09:39,09:43,1
7,10:10,10:15,10:16,10:17,10:19,10:21,10:23,10:24,10:28,1
8,10:54,10:59,11:00,11:01,11:03,11:05,11:07,11:08,11:12,1
9,12:31,12:36,12:37,12:38,12:40,12:42,12:44,12:45,12:49,1
10,12:36,12:41,12:42,12:43,12:45,12:47,12:49,12:45,13:51,1
11,13:33,13:38,13:39,13:00,13:42,13:44,13:46,13:47,13:51,1
12,14:18,14:23,14:24,14:25,14:27,14:29,14:31,14:32,14:36,1
13,15:06,15:11,15:12,15:13,15:15,15:17,15:19,15:20,15:24,1
14,15:50,15:55,15:56,15:57,15:59,16:01,16:03,16:04,16:08,1
1,10:54,10:52,10:51,10:50,10:48,10:46,10:43,10:44,10:38,2
2,12:31,12:29,12:28,12:27,12:25,12:23,12:20,12:21,12:15,2
3,12:36,12:34,12:33,12:32,12:30,12:28,12:25,12:26,13:17,2
4,13:33,13:31,13:30,13:29,13:27,13:25,13:22,13:23,13:17,2
5,14:18,14:16,14:15,14:14,14:12,14:10,14:07,14:08,14:02,2
6,15:06,15:04,15:03,15:02,15:00,14:58,14:55,14:56,14:50,2
7,15:50,15:48,15:47,15:46,15:44,15:42,15:39,15:40,15:34,2
,,,,,,,,,,
